406;551962489575;202501010000;2434;LOCAL
511;551363300584;202501010001;2910;CELULAR
523;551157088243;202501010002;1984;INTERNA
189;551911631584;202501010003;3387;LOCAL
182;551674216304;202501010005;3293;CELULAR
143;551862587685;202501010006;2554;INTERNA
116;551851311387;202501010007;3215;LOCAL
489;551369958068;202501010009;1897;LOCAL
258;551258424230;202501010011;1046;LDN
254;551438811218;202501010012;2313;INTERNA
564;551425200558;202501010013;1180;INTERNA
350;551379444280;202501010015;2701;LOCAL
498;551462957905;202501010016;1777;LDN
152;551872196565;202501010017;1151;LOCAL
484;551237475680;202501010019;2555;CELULAR
241;551745908870;202501010019;1982;LDN
176;551388849879;202501010021;625;INTERNA
530;551830085404;202501010021;203;CELULAR
536;551147828447;202501010022;387;LDN
202;551649566032;202501010023;3393;CELULAR
199;551225224997;202501010024;3161;CELULAR
440;551600363225;202501010025;768;LDN
122;551587271086;202501010026;186;INTERNA
547;551555647588;202501010028;2817;LDN
167;551573391540;202501010028;1497;CELULAR
513;551617036642;202501010029;25;LOCAL
492;551332876731;202501010029;2710;LOCAL
295;551348873935;202501010030;2322;INTERNA
111;551949770698;202501010031;2468;LDN
379;551604769215;202501010032;215;LOCAL
542;551242963727;202501010033;3467;LDN
547;551603521198;202501010035;2156;INTERNA
591;551726691455;202501010036;1624;CELULAR
574;551221695436;202501010037;2026;LDN
201;551730151808;202501010038;1511;LDN
226;551265171876;202501010039;1803;CELULAR
424;551424903240;202501010041;1330;INTERNA
166;551822769579;202501010042;338;INTERNA
311;551744447929;202501010043;3225;INTERNA
268;551247166904;202501010045;987;LOCAL
105;551183176492;202501010045;765;INTERNA
516;551963752174;202501010045;2007;LDN
176;551936302873;202501010046;683;CELULAR
463;551454627299;202501010048;353;CELULAR
240;551109853703;202501010050;3220;LDN
260;551421480990;202501010052;1890;CELULAR
528;551969695141;202501010052;1029;INTERNA
217;551343720519;202501010054;3196;LDN
147;551450900479;202501010054;47;LDN
183;551211979660;202501010055;788;LOCAL
350;551787909841;202501010056;1640;LDN
533;551148934498;202501010057;181;INTERNA
551;551106426905;202501010058;1393;LOCAL
243;551347053091;202501010059;2996;INTERNA
150;551161081556;202501010059;1857;CELULAR
417;551244264591;202501010101;3498;INTERNA
240;551754130578;202501010101;1180;INTERNA
312;551437259897;202501010102;2466;LOCAL
243;551312786035;202501010103;2392;LDN
474;551946064712;202501010105;1374;INTERNA
353;551883213242;202501010105;2933;INTERNA
469;551737782610;202501010106;2781;LOCAL
517;551752022664;202501010107;1010;LOCAL
407;551441138145;202501010108;764;INTERNA
546;551766282143;202501010109;2215;INTERNA
357;551200335917;202501010111;3106;LDN
348;551855373571;202501010112;582;LDN
336;551593761268;202501010112;2083;CELULAR
481;551779680577;202501010114;1253;LOCAL
410;551214153239;202501010115;398;CELULAR
487;551190947329;202501010117;347;LDN
426;551657639021;202501010117;2271;INTERNA
134;551168667225;202501010118;3583;CELULAR
363;551208823641;202501010119;2095;LDN
595;551777402860;202501010120;2943;INTERNA
360;551376448661;202501010121;3257;LOCAL
389;551548802956;202501010121;2165;INTERNA
536;551178333721;202501010123;3572;INTERNA
364;551266897752;202501010125;2739;LOCAL
542;551175744157;202501010126;3147;LDN
123;551992334492;202501010127;2087;LOCAL
551;551579736314;202501010129;1275;INTERNA
107;551722659565;202501010129;316;CELULAR
550;551795645086;202501010130;1196;LOCAL
407;551157597458;202501010130;1337;CELULAR
113;551201843947;202501010132;3516;LOCAL
559;551778043200;202501010133;3390;INTERNA
574;551346937625;202501010134;1807;CELULAR
330;551819490055;202501010135;773;LDN
191;551237220628;202501010135;2013;INTERNA
560;551624182667;202501010137;2516;INTERNA
483;551104172280;202501010138;648;INTERNA
580;551514683160;202501010140;456;LOCAL
263;551703340109;202501010141;926;INTERNA
223;551724326604;202501010141;120;INTERNA
115;551824375568;202501010141;660;LOCAL
399;551228233113;202501010142;429;CELULAR
199;551101968360;202501010143;2237;LOCAL
496;551969987488;202501010144;402;INTERNA
473;551698125757;202501010145;3503;CELULAR
286;551930804257;202501010146;477;LOCAL
155;551235603195;202501010147;3143;INTERNA
366;551236651651;202501010148;454;INTERNA
529;551123702797;202501010149;294;CELULAR
180;551443232969;202501010151;1836;CELULAR
574;551957495252;202501010152;1116;LDN
430;551206107542;202501010152;1069;CELULAR
150;551290016530;202501010154;413;INTERNA
119;551261319831;202501010154;587;LDN
401;551928385706;202501010155;2061;INTERNA
315;551236188405;202501010157;1619;LOCAL
341;551572407422;202501010158;1396;LDN
107;551417820857;202501010158;3245;LDN
316;551651829480;202501010200;1146;LDN
172;551470110834;202501010201;2419;INTERNA
244;551971792315;202501010202;2520;LDN
511;551490394556;202501010202;2534;LDN
128;551644343667;202501010203;1869;LDN
370;551188059218;202501010205;2900;LDN
131;551948494544;202501010205;1134;CELULAR
194;551960455671;202501010206;1663;LOCAL
351;551750209735;202501010207;2690;INTERNA
562;551100258574;202501010208;3425;INTERNA
155;551170797700;202501010209;467;LDN
451;551174833921;202501010210;3033;INTERNA
158;551290063752;202501010211;1093;INTERNA
262;551341289441;202501010211;203;INTERNA
561;551663386423;202501010212;2551;INTERNA
287;551516229617;202501010213;761;CELULAR
211;551851614596;202501010215;2061;LOCAL
379;551436753647;202501010215;2661;LOCAL
486;551269018571;202501010217;1618;LOCAL
483;551571844300;202501010217;1826;INTERNA
177;551166593665;202501010218;748;LDN
589;551460525927;202501010220;2845;LDN
472;551530456966;202501010222;3122;INTERNA
283;551498580361;202501010222;1180;LOCAL
510;551501641059;202501010224;1281;INTERNA
505;551309087146;202501010225;2417;INTERNA
138;551520328534;202501010227;376;CELULAR
158;551536860026;202501010227;1361;LOCAL
452;551528183347;202501010229;422;LDN
249;551619253580;202501010229;1675;CELULAR
310;551498801789;202501010231;642;INTERNA
186;551436416963;202501010232;628;INTERNA
424;551920931441;202501010234;2731;INTERNA
381;551104261394;202501010234;2644;CELULAR
333;551734227040;202501010235;3281;LDN
390;551253990303;202501010237;2759;CELULAR
313;551817718182;202501010237;552;INTERNA
588;551615321744;202501010237;1960;LOCAL
516;551703282476;202501010239;2784;LOCAL
401;551992309675;202501010239;3514;LDN
405;551899607317;202501010239;2372;LDN
484;551382589458;202501010240;860;CELULAR
465;551540918323;202501010242;3130;LDN
190;551457162858;202501010242;2265;INTERNA
101;551157536186;202501010243;1251;INTERNA
586;551966307344;202501010243;3119;LDN
598;551365398990;202501010245;1312;LDN
506;551537916633;202501010247;1356;INTERNA
258;551911735814;202501010247;1745;INTERNA
529;551112730161;202501010248;2434;INTERNA
220;551668246225;202501010249;768;LDN
336;551612065934;202501010251;1626;CELULAR
160;551322273195;202501010253;559;CELULAR
361;551263353846;202501010253;686;LDN
549;551180044818;202501010254;757;INTERNA
550;551473542952;202501010256;1341;CELULAR
135;551426564344;202501010257;1836;LDN
570;551158298637;202501010258;1722;INTERNA
543;551448323204;202501010259;1390;LDN
161;551151903209;202501010301;1173;CELULAR
519;551824170031;202501010303;1470;INTERNA
232;551206251160;202501010303;3269;INTERNA
396;551790488093;202501010304;1984;LDN
152;551435843490;202501010304;3159;LDN
399;551149971870;202501010305;2902;LDN
274;551250929116;202501010307;2449;INTERNA
260;551782328511;202501010308;3222;LDN
423;551130501415;202501010309;1054;INTERNA
532;551606383340;202501010310;2320;INTERNA
251;551739712108;202501010311;2850;LOCAL
568;551898287942;202501010313;1506;LOCAL
330;551171347975;202501010314;3548;LDN
224;551390697841;202501010315;1570;LDN
438;551140545583;202501010316;2876;CELULAR
480;551864466165;202501010317;2890;LOCAL
461;551275432002;202501010318;3315;LDN
166;551747340223;202501010319;3583;INTERNA
204;551327789338;202501010320;1002;CELULAR
289;551571612015;202501010321;2411;LOCAL
482;551559169759;202501010321;739;LDN
104;551128020448;202501010322;1106;CELULAR
281;551617313870;202501010324;3545;LOCAL
386;551845932813;202501010324;1296;CELULAR
332;551790510572;202501010325;3521;LOCAL
130;551262233938;202501010326;3150;CELULAR
539;551573787935;202501010327;1334;LDN
354;551944276880;202501010329;2461;INTERNA
528;551632316007;202501010330;2752;LDN
303;551362860962;202501010330;974;LOCAL
503;551620299625;202501010332;770;INTERNA
409;551974010558;202501010333;57;INTERNA
442;551580360231;202501010334;3546;LOCAL
276;551426151231;202501010334;2051;LOCAL
359;551563203567;202501010335;427;INTERNA
548;551162896741;202501010335;153;INTERNA
232;551821738004;202501010337;2367;LOCAL
156;551254852819;202501010338;909;INTERNA
113;551873559528;202501010338;352;LOCAL
587;551545891749;202501010339;1132;LOCAL
419;551319645094;202501010341;965;LDN
449;551848563501;202501010342;667;LDN
392;551304945548;202501010343;2763;LDN
325;551907227728;202501010344;1744;INTERNA
152;551776522958;202501010345;2270;LOCAL
536;551117340071;202501010346;1591;CELULAR
501;551828955610;202501010347;2845;LDN
475;551941370632;202501010349;1283;LOCAL
556;551794084571;202501010350;1030;LOCAL
455;551643737173;202501010351;1558;INTERNA
429;551841085285;202501010352;1318;INTERNA
486;551252573122;202501010354;2670;LOCAL
127;551517458591;202501010356;1316;LOCAL
473;551577231329;202501010358;998;LDN
258;551467444408;202501010358;3557;INTERNA
374;551130029393;202501010400;1388;LDN
290;551233986820;202501010402;848;LOCAL
287;551792907239;202501010404;1915;CELULAR
346;551900679644;202501010404;2010;CELULAR
470;551104573932;202501010404;1376;CELULAR
389;551725069966;202501010405;468;LOCAL
228;551869558639;202501010406;2901;LDN
371;551991682248;202501010407;3253;INTERNA
372;551758790953;202501010408;3087;LDN
127;551562465837;202501010409;1957;CELULAR
477;551113279540;202501010411;2133;CELULAR
483;551275528289;202501010411;3207;CELULAR
549;551188124643;202501010412;1933;LOCAL
416;551122263495;202501010414;1324;CELULAR
477;551517782104;202501010414;552;CELULAR
437;551845640463;202501010416;145;LOCAL
106;551472488112;202501010417;3370;INTERNA
185;551116290295;202501010418;1827;INTERNA
239;551821733593;202501010418;2617;LDN
164;551758078338;202501010418;2641;INTERNA
317;551133749731;202501010420;1541;INTERNA
483;551945968552;202501010421;391;LOCAL
180;551303151300;202501010421;2224;LDN
422;551644857333;202501010421;2884;INTERNA
447;551387573433;202501010422;636;LOCAL
405;551189710850;202501010423;3513;LDN
506;551155863745;202501010424;3076;LDN
555;551746181919;202501010425;842;LDN
